arrive_time,task_id,rtl
2022-05-08 15:15:10.677803,9eedda92-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.682625,9eedd916-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.708865,9eedc52a-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.727670,9eedd844-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.729504,9eedc926-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.783960,9eedc340-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.829354,9eedc020-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.820107,9eedc444-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.826302,9eedc96c-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.832483,9eedcb92-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.824867,9eedcd2c-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.825415,9eedce3a-ce21-11ec-bf2b-fb218f9a89cd,8
2022-05-08 15:15:10.835676,9eedd9f2-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.827524,9eedc7c8-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.833276,9eedbe9a-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.825815,9eedc4da-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.841365,9eedc1ec-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.820724,9eedc6ec-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.837496,9eedc9b2-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.833701,9eedcdb8-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.821382,9eedbd82-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.826741,9eedc070-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.856934,9eedb99a-ce21-11ec-bf2b-fb218f9a89cd,12
2022-05-08 15:15:10.855693,9eedc28c-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.824408,9eedcd72-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.845575,9eedcc1e-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.827971,9eedbcec-ce21-11ec-bf2b-fb218f9a89cd,8
2022-05-08 15:15:10.858512,9eedc3ea-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.850271,9eedd8da-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.840671,9eedc9ee-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.830254,9eedcb4c-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.834614,9eedc5d4-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.875835,9eedbdf0-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.831890,9eedc250-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.847283,9eedc0b6-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.838079,9eedcac0-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.822912,9eedc584-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.887935,9eedcbd8-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.834965,9eedccaa-ce21-11ec-bf2b-fb218f9a89cd,11
2022-05-08 15:15:10.821991,9eedc732-ce21-11ec-bf2b-fb218f9a89cd,13
2022-05-08 15:15:10.862904,9eedcb06-ce21-11ec-bf2b-fb218f9a89cd,9
2022-05-08 15:15:10.827139,9eedd966-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.830885,9eedcc64-ce21-11ec-bf2b-fb218f9a89cd,10
2022-05-08 15:15:10.834097,9eedbe40-ce21-11ec-bf2b-fb218f9a89cd,10
